Title,Director,Genres,Plot,Vote Average,Vote Count
The Crow,Rupert Sanders,"Action, Fantasy, Horror","Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",5.9,719
All Hallows' Eve,Damien Leone,Horror,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",5.7,494
Dominique,Michael S. Ojeda,"Action, Thriller","Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",7.7,24
The Silent Hour,Brad Anderson,"Crime, Thriller, Action","While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.",6.36,50
Invasion,Bobby Boermans,"Action, Drama, Thriller","When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Navy recruits must figure out what is the right thing to do.",4.9,9
Flow,Gints Zilbalodis,"Animation, Fantasy, Adventure","A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",8.7,170
Transmorphers: Mech Beasts,Michael Su,"Action, Science Fiction","20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",5.448,29
My Fault,Domingo González,"Romance, Drama","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.917,3024
It Ends with Us,Justin Baldoni,"Romance, Drama","When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",7.194,976
Diabolik - Who Are You?,Antonio Manetti,"Crime, Action","Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.",6.3,96
